#  HZ   S   RI   R     50.00 
! Rohde & Schwarz Vector Network Analyzer 
! Rohde-Schwarz,ZNLE18-2Port,1323001270101281,1.61.1.0-22.05.1.79
! Created: UTC 6/27/2023, 12:01:30 PM
! freq[Hz]                re:S11                  im:S11                  re:S21                  im:S21                  re:S12                  im:S12                  re:S22                  im:S22
 9.848484848484848E9    -2.656409744766190E-1    4.564392129088993E-1   -1.465602519761358E-5    5.920566806886993E-5   -7.727637050916730E-5    6.231173398953065E-6    8.347009430426900E-1   -5.561298485933328E-1
 9.969696969696970E9    -9.432405990373768E-2    5.201204958491287E-1    1.108138447474457E-4    7.339043869362557E-6    1.220954780865303E-5    9.551660614356785E-5    8.287654799201895E-1   -5.655823427974369E-1
 1.009090909090909E+10   1.032216729851368E-1    4.554821733579056E-1    4.981015565398903E-5   -2.006207465587987E-4    5.876796051901138E-5   -7.073261885204807E-5    8.233289816065561E-1   -5.743231682360995E-1
 1.021212121212121E+10   3.405338469949069E-2    2.955058363225016E-1   -1.668432308949960E-4   -9.770290954110904E-5   -7.393631633184232E-5   -9.634142743403888E-5    8.174885516248889E-1   -5.835605855068364E-1
 1.033333333333333E+10  -2.171086710106244E-2    4.764103999876320E-1   -4.774454040530848E-5    7.777389751786481E-5   -4.577340366158134E-5    1.027968833262736E-4    8.118784196670488E-1   -5.909859202579785E-1
 1.045454545454546E+10   2.014544824459103E-1    5.517313108011871E-1   -4.051786518220919E-6    1.915069504470711E-5    4.220316898258840E-5   -8.485398615763245E-5    8.058002268584917E-1   -6.010727660032783E-1
 1.057575757575758E+10   3.713219032908948E-1    4.438390872104089E-1    4.658384180445843E-5    1.225360471006678E-6   -2.438923073991316E-5    2.781713117027154E-5    7.981829910052494E-1   -6.087064647781467E-1
 1.069696969696970E+10   4.861762165493436E-1    2.557488682388691E-1    4.996720276011055E-5   -1.003499849592306E-4   -7.416438110681149E-5   -9.032719357102399E-5    7.937576094862613E-1   -6.180471582893754E-1
 1.081818181818182E+10   3.908931405502475E-1   -2.678784587190732E-2   -1.338641904254447E-4   -6.391056027528870E-5   -5.578911710706798E-5    9.320099901699429E-5    7.871648937820742E-1   -6.258233380595181E-1
 1.093939393939394E+10   2.996954199808363E-2   -3.995667783220384E-2   -7.265086416225677E-5    1.284030509690440E-5    1.849662131012893E-4    4.389052904245198E-5    7.824752549866465E-1   -6.310159364715885E-1
 1.106060606060606E+10  -5.146472004142150E-2    3.219737282651945E-1    7.607402023325633E-7    6.083021956208573E-5   -7.172181117782238E-5   -2.882107141626008E-4    7.759178478142963E-1   -6.462780664757860E-1
 1.118181818181818E+10   2.169742670691761E-1    4.989228424417008E-1    8.073722640043600E-6   -1.393438431875669E-5   -3.190395020785407E-4    2.087267545527822E-5    7.740544734924557E-1   -6.483919705216662E-1
 1.130303030303030E+10   4.629432075538024E-1    4.176424396058497E-1   -3.139951019625416E-5   -3.900761338253541E-5   -2.058036394764766E-5    1.572845152268414E-4    7.645146344601979E-1   -6.649070358586505E-1
 1.142424242424242E+10   5.840398958612212E-1    2.768172373174482E-1   -1.256086176943603E-5    1.462677262221959E-5    3.019339343980960E-5   -1.295274266000451E-5    7.588959637061335E-1   -6.726608760129772E-1
 1.154545454545455E+10   6.753767247295606E-1    8.937700990234811E-2   -5.202009984172294E-5   -5.851488076533793E-5    4.732660222628051E-5    3.160984547788738E-5    7.554727631136638E-1   -6.842138978568127E-1
 1.166666666666667E+10   6.360023985254962E-1   -1.433549084605598E-1   -6.114313280566711E-5   -5.128556512352422E-5   -7.550877467552358E-5   -9.287782481243651E-6    7.419404396105255E-1   -6.934479277347955E-1
 1.178787878787879E+10   4.723358697689449E-1   -2.902206170640818E-1   -1.645182262401537E-4   -2.273977982061217E-5   -3.715943327743026E-5    1.163107882070553E-4    7.393827404206887E-1   -7.039911467972764E-1
 1.190909090909091E+10   2.820765590106957E-1   -3.092134684034596E-1   -9.821291248571196E-5    1.197112475547472E-4    4.835662877253229E-5   -2.070164279304441E-6    7.284920639227783E-1   -7.131005047451705E-1
 1.203030303030303E+10   1.300652133197459E-1   -1.778019540625947E-1    4.004794586781062E-5    1.026257082675068E-4   -7.219211437799705E-5   -1.163021050777887E-6    7.222247218513644E-1   -7.204750220865405E-1
 1.215151515151515E+10   2.043644108746903E-1   -1.521178073784134E-2    4.541443278253481E-5   -1.349633448763762E-6   -1.148020503511288E-4    5.455296401254015E-5    7.161361328170114E-1   -7.319305016627803E-1
 1.227272727272727E+10   3.717834418676174E-1    1.070521657490991E-2    3.748025969727916E-6   -1.704822243458229E-4    3.785942032261651E-5    4.791279155974047E-5    7.062520847743229E-1   -7.390033961725558E-1
 1.239393939393939E+10   5.263725382303516E-1   -1.477303168503972E-1   -2.507569001849120E-4   -8.213578986894538E-5   -3.106004341660687E-5   -5.500809538552332E-5    6.991995744515545E-1   -7.510070500810174E-1
 1.251515151515152E+10   5.009895500724828E-1   -3.848552140399366E-1   -6.452347191937554E-5    2.402810658623888E-4    1.078264545181841E-6    6.823632280050536E-5    6.898741450811735E-1   -7.595498563420601E-1
 1.263636363636364E+10   3.329023793820568E-1   -5.245866622924775E-1    1.439552925605635E-4    1.829683489120603E-6   -2.189874512682989E-5    3.719653702339756E-5    6.799723416302057E-1   -7.684995746158566E-1
 1.275757575757576E+10   2.029789378620630E-1   -5.330400657197492E-1   -1.804133322537158E-4   -8.804735824611105E-5   -7.134963859913002E-5    2.785400883545782E-5    6.734858435037766E-1   -7.790868254085858E-1
 1.287878787878788E+10   8.857999758709784E-2   -6.051543765124161E-1   -1.511075445118979E-4    2.141277604505089E-4    1.265270853338577E-6    7.017520759263850E-5    6.609851574262855E-1   -7.881675053656361E-1
 1.300000000000000E+10  -1.353163338475974E-1   -5.635545774326334E-1    1.169911892089086E-4    1.797283221268293E-4   -4.132611752011742E-5   -1.023584739117546E-4    6.540483337889206E-1   -7.994993791254711E-1
